image_id,angle,speed
1,0.125,1
2,0.1875,1
3,0.25,0
4,0.3125,0
5,0.25,0
6,0.8125,1
7,0.875,0
8,0.6875,1
9,0.25,0
10,0.25,1
11,0.9375,1
12,0.8125,1
13,0.75,1
14,0.5625,0
15,0,1
16,0.3125,1
17,1,0
18,0.375,1
19,1,0
20,0.625,1
21,0.9375,0
22,0.375,0
23,0.9375,0
24,0.1875,0
25,0.625,1
26,0.75,0
27,1,0
28,0.875,0
29,0.6875,1
30,0.8125,1
31,0.9375,0
32,0.375,0
33,0.8125,0
34,0.125,0
35,0.625,0
36,0,1
37,0.6875,0
38,0.8125,1
39,0.125,0
40,0.8125,1
41,0.1875,0
42,0.9375,0
43,0.375,0
44,0.1875,0
45,0.5625,0
46,0.75,0
47,0.3125,1
48,0.4375,1
49,0.125,1
50,0.375,1
51,0.5625,1
52,0.875,1
53,0.625,0
54,0.5,1
55,0.3125,0
56,0.8125,0
57,0.125,1
58,0.0625,1
59,1,1
60,0.3125,0
61,0.375,0
62,0.5625,1
63,0.4375,0
64,0.3125,0
65,0.9375,1
66,0.5625,1
67,0.375,0
68,0.25,1
69,0.1875,1
70,0.875,0
71,0.25,0
72,0.5625,0
73,0.875,0
74,0.9375,0
75,1,1
76,0.5625,0
77,0.8125,0
78,0.8125,0
79,0.5,1
80,0.1875,1
81,1,1
82,0.1875,0
83,1,1
84,0.375,1
85,0.0625,1
86,0.0625,0
87,0.75,0
88,0.6875,1
89,0.75,0
90,0.8125,0
91,0.1875,1
92,0.3125,0
93,0.6875,1
94,0.8125,0
95,0.5,1
96,0.1875,0
97,0.5,1
98,0.75,1
99,0.75,1
100,0.75,1
101,0.1875,1
102,0.0625,1
103,0.4375,1
104,0.4375,1
105,0.8125,0
106,0.4375,0
107,0.875,0
108,0.875,0
109,0.5,1
110,0.375,1
111,0.0625,0
112,0.125,0
113,0.1875,0
114,0.6875,1
115,0,0
116,0.1875,0
117,0.3125,1
118,0.1875,0
119,0.6875,0
120,0.5,0
121,0.5,1
122,0.125,0
123,0.0625,1
124,0.5625,0
125,0.625,1
126,0.1875,1
127,0.4375,1
128,0.625,0
129,0.75,1
130,0.375,0
131,0.625,1
132,0.9375,0
133,0.875,1
134,0.6875,1
135,0.5,1
136,1,0
137,0.9375,1
138,0.8125,0
139,0.9375,1
140,0.625,1
141,0.375,0
142,0.8125,0
